Energy_carrier,Sector,Subsector,Application,pypsa_carrier,comment,action_comment
Ambient heat,Industrie,Basic chemicals,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Basic chemicals,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Basic chemicals,Space heating,low-temperature heat,,
Ambient heat,Industrie,Basic chemicals,Raw material (feedstock) demand,low-temperature heat,,
Ambient heat,Industrie,Fabricated metal products (metalworking),Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Fabricated metal products (metalworking),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Fabricated metal products (metalworking),Space heating,low-temperature heat,,
Ambient heat,Industrie,Food and tobacco,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Food and tobacco,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Food and tobacco,Space heating,low-temperature heat,,
Ambient heat,Industrie,Glass and ceramics,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Glass and ceramics,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Glass and ceramics,Space heating,low-temperature heat,,
Ambient heat,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Machinery and equipment (mechanical engineering),Space heating,low-temperature heat,,
Ambient heat,Industrie,Metallerzeugung ,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Metallerzeugung ,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Metallerzeugung ,Space heating,low-temperature heat,,
Ambient heat,Industrie,Non-ferrous metals and foundries,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Non-ferrous metals and foundries,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Non-ferrous metals and foundries,Space heating,low-temperature heat,,
Ambient heat,Industrie,Other chemical industry,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Other chemical industry,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Other chemical industry,Space heating,low-temperature heat,,
Ambient heat,Industrie,Other economic sectors,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Other economic sectors,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Other economic sectors,Space heating,low-temperature heat,,
Ambient heat,Industrie,Paper industry,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Paper industry,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Paper industry,Space heating,low-temperature heat,,
Ambient heat,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Processing of stone and earth (non-metallic mineral processing),Space heating,low-temperature heat,,
Ambient heat,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Quarrying of stone and earth; other mining,Space heating,low-temperature heat,,
Ambient heat,Industrie,Rubber and plastic products,Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Rubber and plastic products,Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Rubber and plastic products,Space heating,low-temperature heat,,
Ambient heat,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),low-temperature heat,,
Ambient heat,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,low-temperature heat,what is energy balance calibration?,
Ambient heat,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space heating,low-temperature heat,,
Biomass,Industrie,Basic chemicals,Process heat (steam),solid biomass,,
Biomass,Industrie,Basic chemicals,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Basic chemicals,Space heating,solid biomass,,
Biomass,Industrie,Basic chemicals,Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Basic chemicals,Raw material (feedstock) demand,solid biomass,,
Biomass,Industrie,Fabricated metal products (metalworking),Process heat (steam),solid biomass,,
Biomass,Industrie,Fabricated metal products (metalworking),Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Fabricated metal products (metalworking),Space heating,solid biomass,,
Biomass,Industrie,Food and tobacco,Process heat (steam),solid biomass,,
Biomass,Industrie,Food and tobacco,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Food and tobacco,Space heating,solid biomass,,
Biomass,Industrie,Food and tobacco,Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Glass and ceramics,Process heat (steam),solid biomass,,
Biomass,Industrie,Glass and ceramics,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Glass and ceramics,Space heating,solid biomass,,
Biomass,Industrie,Glass and ceramics,Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),solid biomass,,
Biomass,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Machinery and equipment (mechanical engineering),Space heating,solid biomass,,
Biomass,Industrie,Metallerzeugung ,Process heat (steam),solid biomass,,
Biomass,Industrie,Metallerzeugung ,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Metallerzeugung ,Space heating,solid biomass,,
Biomass,Industrie,Metallerzeugung ,Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Non-ferrous metals and foundries,Process heat (steam),solid biomass,,
Biomass,Industrie,Non-ferrous metals and foundries,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Non-ferrous metals and foundries,Space heating,solid biomass,,
Biomass,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Other chemical industry,Process heat (steam),solid biomass,,
Biomass,Industrie,Other chemical industry,Energy balance calibration,solid biomass,what is energy balance calibration?,
Biomass,Industrie,Other chemical industry,Space heating,solid biomass,,
Biomass,Industrie,Other chemical industry,Process heat (industrial furnaces),solid biomass,,
Biomass,Industrie,Other economic sectors,Process heat (steam),solid biomass,,
